,Year,Act_CO2Price,BEIS_CO2Price,CO2Emissions(gCO2/kWh),CO2EmissionsTarget(gCO2/kWh)
0,2010.0,14.0,14.0,374.7512729023984,250.0
1,2011.0,15.400000000000002,12.6,357.330829706302,250.0
2,2012.0,16.940000000000005,6.6,326.5915439612379,250.0
3,2013.0,18.634000000000007,8.1,289.46526428954996,250.0
4,2014.0,20.49740000000001,14.0,269.18063325929376,250.0
5,2015.0,22.7,22.7,,
6,,,23.2,,
7,,,23.5,,
8,,,30.756859344,,
9,,,30.8762330437,,
10,,,31.6594532992,,
11,,,31.9463984597,,
12,,,32.2521127698,,
13,,,32.5683099538,,
14,,,32.8876071102,,
15,,,33.2100346309,,
16,,,33.5356232057,,
17,,,33.8644038254,,
18,,,34.1964077845,,
19,,,35.5966439821,,
20,,,42.6631282762,,
21,,,53.9845132865,,
22,,,65.3058982968,,
23,,,76.6272833072,,
24,,,87.9486683175,,
25,,,99.2700533279,,
26,,,99.2700533279,,
27,,,99.2700533279,,
28,,,99.2700533279,,
29,,,99.2700533279,,
30,,,99.2700533279,,
31,,,99.2700533279,,
32,,,99.2700533279,,
33,,,99.2700533279,,
34,,,99.2700533279,,
35,,,99.2700533279,,
36,,,99.2700533279,,
37,,,99.2700533279,,
38,,,99.2700533279,,
39,,,99.2700533279,,
40,,,99.2700533279,,
41,,,99.2700533279,,
42,,,99.2700533279,,
43,,,99.2700533279,,
44,,,99.2700533279,,
45,,,99.2700533279,,
46,,,99.2700533279,,
47,,,99.2700533279,,
48,,,99.2700533279,,
49,,,99.2700533279,,
50,,,99.2700533279,,
